Name,Info,company
Layo George,"Layo George is a nurse, healthcare administrator, and an entrepreneur focusing on maternal health, equity, and social determinants of health. Layo is the founder and CEO of Wolomi, a maternal health startup that provides resources and guidance to improve the experiences and outcomes for women of color during their perinatal periods. She leads a team of culturally competent multidisciplinary subject matter experts to address the maternal health crisis.Prior to her role at Wolomi, she led the creation of groundbreaking products for health IT, marketing, and health information exchange companies. Before founding Wolomi, Layo worked as a quality improvement specialist at the District of Columbia Primary Care Association, and led 15 healthcare centers through value-based practice transformation and oral health primary care integration. She also served on the District of Columbia Board of Nursing for over 2 years. She currently serves on the board of Unity Healthcare, the largest federally qualified health center in the District of Columbia.",Wolomi
Mark Peterson,"Founder & CEO, Mark Peterson is a serial entrepreneur with 20+ years of senior executive corporate experience with General Mills, Accenture, ChoicePoint, and First American.Peterson launched ENForm Magazine in high school (which he grew to 1,000 subscribers) and opened an on-campus grocery store in college. Peterson later founded two grocery retail tech startups, List Genie and RESCUE. After leaving ChoicePoint, Peterson co-founded and served as the CEO of PrideRock Holdings, a biometric authentication startup, from 2003 to 2013. Peterson successfully exited PrideRock Holdings in 2013 after achieving a $20 million run-rate. Peterson has a BA and an MBA from Dartmouth College.","Ziscuit, Inc."
Del Smith,"Del Smith, co-founder and CEO of Acclinate, is a serial entrepreneur who is passionate about using business to make a positive societal impact. He has extensive experience in healthcare, IT, higher education, and government. Del’s experience as a Black founder has fueled his interest in what it takes for minority-based firms to reach high levels of success. His related research has appeared in several leading publications. Del earned his Ph.D. in Management from the University of Alabama.",Acclinate
Roger Roman,"Roger Roman is the co-founder of AfriBlocks, a SaaS-enabled freelance marketplace. AfriBlocks connects talented freelancers from Africa with gigs across the globe.Prior to launching AfriBlocks, he served as the Managing Partner of the award-winning agency Push Consulting & Marketing. He is also the founding board member of STEM advocacy organization Rythm Labs, where he has created and curated resources to increase participation in the global tech economy throughout the African diaspora.In addition to being a founder, Roger is also an active angel investor and VC scout; these roles allow him to support resilient founders and innovative startups. He is a recipient of the James P. Lyke African American Male Image Award and was named one of the 100 Modern Men of Distinction by Black Enterprise Magazine.He credits his upbringing on the westside of Chicago and his time as an undergraduate at Howard University with sparking his passion for entrepreneurship and public service.",AfriBlocks
Asha Owens,"Asha Owens (Co-Founder & CEO of BestFit)Asha Owens is an award-winning product designer and software engineer committed to building equitable, community-centered technology. During 2021, Asha has served as a Civic Innovation Fellow, a Squad Leader in /dev/color, and a founder in Google for Startups’ Founders Academy. She is a former Columbia University Design Leader, 4.0 Schools Fellow, and alum of Techstars Atlanta (Social Impact ‘20).Throughout her career, Asha has utilized her interdisciplinary background in Neuroscience (B.S., Brown University) and Instructional Technology & Media (M.A., Teachers College - Columbia University) to build innovative products and lead fast-paced, high-impact teams. For her work, she has been awarded Palantir’s Women in Engineering Scholarship, recognized as one of CTA’s 2020 Faces of Innovation, and named one of 28 Emerging & Inspirational Black Leaders in Edtech by LearnLaunch.At BestFit, Asha has led the team to design and build EdTech tools that received national recognition. In 2020, BestFit was awarded the Rise Prize (Early Stage)—a prize for innovative solutions supporting the postsecondary success of student parents. Additionally, Asha’s design of BestFit’s other product—a college search tool—won the ideation stage of Bill & Melinda Gates Foundation & NYU’s “Algorithm for Change” competition.","BestFit, Inc."
Alcide Honore,"Alcide Honoré is the CEO and Cofounder of Billseye, a mobile billing and call monetization platform that was born from his experiences as a licensed attorney in private practice for over a dozen years.The idea for Billseye emerged from a conversation between Alcide and his brother and Cofounder, Armond Honoré, about the limitations in billing technology for lawyers and other professionals. When Alcide proposed the idea for Billseye, Armond's response was, ""we can do that"". The rest is history, as the brothers have successfully built the world's most innovative billing platform for mobile calls.What's next? The complete disruption of the mobile voice communications industry. The current iteration of Billseye is just the first step on a path towards a future where our users can regain control of the time they spend communicating on their mobile devices. Billseye will make the saying ""time is money"" a tangible reality for anyone running our software.Alcide earned his BA at Duke University and his MA and JD from Georgia State University. Alcide resides in Atlanta, Georgia, with his wife, Cori, and has four children, AJ, Adyn, Ace and Axel.Alcide is especially grateful for the opportunity to realize a lifelong dream of building a business with his brother.",Billseye
Devin Dixon,"Devin is a serial entrepreneur and developer. He taught himself to code C++ at 12 years old, started his first business in college at 19, and graduated with a computer science and business degree while running Division One Track & Field on scholarship. Over the years, he has started several companies such as Sprout Connections, an app to help people find relevant connections at professional networking events, which he grew to 60k users. Another organization he built was Untapped Founders - a networking organization for Black/Brown Founders that he grew across four cities in 5 months and partnered with notable brands such as First Round Capital and Airbnb. Devin's ability to write code, lead teams, and sell products make him a formidable company builder. In addition to start-ups, Devin teaches coding at boot camps and is an avid Tough Mudder/Spartan Racer.",BingeWave
Kelley Cambry,"Kelley Cambry is a third-generation entrepreneur who grew up in a production studio.Kelley is a graduate of Howard University with a B.B.A. in Marketing and Finance. Currently, Kelley is the CEO and Co-Founder of Blue Studios. Kelley’s background is in finance and computer science, where she ran digital at Fortune 500 companies as Assistant Vice President at JPMorgan and American Express. Her strategies led to over $2.1 billion in value in customer spend. Kelley also developed and taught livestream classes for General Assembly’s large enterprise accounts such as Staples, Viacom, and L'Oréal. Kelley is the co-founder of Paige & Paxton Labs, an award-winning elementary STEM curriculum, sold to over 17 school systems around the country. Paige & Paxton’s methodology has been studied by the Harvard Graduate School of Education.",Blue Studios.io
Edna Martinson,"Edna Martinson is the co-founder of Boddle Learning. Originally from Ghana, West Africa, Edna came to the US to pursue her Bachelors of Science in International Business at the age of 16. She also holds an MBA from the University of Missouri— Kansas City. Prior to starting Boddle, she worked in operations, marketing, and market analysis for companies in edtech, commercial real estate and higher education. Recently recognized in Forbes Next 1000, Edna has always been a big believer in the importance of education and a solid foundation at a young age, and this passion to help young kids succeed academically has fueled her passion for the edtech space.",Boddle Learning
Donald T Boone,"Donald T Boone is a 2008 Mechanical Engineering graduate from North Carolina A&T State University. A Seat Pleasant, MD native, Donald is a self-taught coder, 3x founder, and a long time operator with more than 13 years in both startup and Fortune 100 enterprises. After nearly four years leading teams and building customer solutions at Amazon's Business Marketplace, he and his team are scaling BoxedUp, an on-demand equipment rental platform disrupting the 335 billion dollar sharing economy.","BoxedUp, Inc."
Kelsey Davis,"Kelsey Davis is the Founder/CEO of CLLCTVE, the portfolio platform connecting creators to their next opportunity. Based in Los Angeles, CA, CLLCTVE is fueled by partners like Google and Techstars. Prior to CLLCTVE, Davis was known for producing visual content for global consumer brands like Coca Cola, Land Rover, Puma and Conde Nast Entertainment. Since graduating from Syracuse University with a BS in Television, Radio, and Film ('19) and MS in Entrepreneurship ('20), Davis has already been featured as a next-gen leader by Forbes 30 Under 30, Adweek, and the NYTimes.",CLLCTVE
SaLisa Berrien,"SaLisa L. Berrien, Founder and CEO of COI Energy, has over two decades of experience in the electric power and smart grid space. From working at electric utilities to Smart Grid, Clean Tech, and Big Data Analytics companies, SaLisa has had a diverse career in the energy space. She practices the Platinum Rule in all that she does, ""Do unto your customer as they would have you to do unto them.”Since 1996, SaLisa provided over 50 scholarships to high school and college students. In 2004, she established the Karl H. Lewis Engineering Impact Alumni Endowment at the University of Pittsburgh for minority students enrolled in Engineering with four scholarships disbursed to date.SaLisa holds a degree in Mechanical Engineering from the University of Pittsburgh and an Executive MBA from Saint Joseph’s University. She’s been a guest speaker at various conferences and events including SXSW, Florida’s Women in Energy Leadership Forum, American Society for Engineering Education, and Morgan Stanley’s Sustainable Futures Summit to name a few. In 2019, she was appointed to the Board of Trustees at the University of Pittsburgh.One of SaLisa's core values is philanthropy. Her mission in life is to positively impact the space she occupies by leaving it better than she found it.",COI Energy
Hakeem James,"Originally from Cleveland, OH, Hakeem James is the founder and CEO of CustomerX.i. With experience at some of the most notable coupon and advertising companies, Hakeem utilized his natural talent for linking the technical and commercial industries in order to launch CX.i in 2019. His vision is to give everyone access to customer data, particularly local mom-and-pop restaurants that may not have the resources to leverage a sophisticated digital platform. Hakeem volunteers annually with mentorship to youth via Kappa Alpha Psi's Kappa League in his free time.",CustomerX.i
Bobby Bryant,"Bobby Bryant is the CEO of DOSS Group INC., the holding company for: Ask DOSS, DOSS Pros, DOSS Social Agents, DOSS Home Loans, DOSS Home Warranty, etc... For the last five(5) years, he and his team have been obsessed with creating and developing an End-to-End Fair-Priced Digital Real Estate Marketplace that will radically evolve the way people buy, rent, search, sell, and service real estate. Mr. Bryant has two(2) Masters Degrees in Education(Special Education & Education Administration) and taught in both Alabama and Texas. He has approximately 21 years of real estate experience. He's currently a FORBES Contributor writing about all things real estate. And, Bobby Bryant was 1 of 74 Who's Who Real Estate Experts(the only African American) nationwide interviewed and noted in the first ever D.A.N.G.E.R. REPORT: A very comprehensive report to help every Brokerage, MLS, and Real Estate Association throughout the country think through some fundamental threats and changes that may be coming to the real estate industry.The idea of building an Intelligent Personal Assistant exclusively for the real estate industry happened in 2011 when he saw IBM Watson play against the two(2) winningest players in Jeopardy history. Months later, Apple introduced the world to Siri. He wanted to empower everybody to speak, text, or type any question about any property to get accurate, easy, and instant answers. Bobby Bryant has built the ideal team, the best technology, and at the right time. DOSS: BETTER. FASTER. SMARTER.",DOSS
LaVonda Brown,"Dr. LaVonda Brown is the founder and CEO of EyeGage. She has an MS and PhD in Electrical and Computer Engineering from Georgia Tech, as well as an MBA from the Scheller College of Business. Her expertise lies in the areas of artificial intelligence (AI) and eye-analysis technologies. She has developed a robotic engagement model based on user eye gaze and pupil size (dilation and constriction). This engagement model has been applied to both math education and physical therapy to improve learning outcomes. Dr. Brown has also developed an eye-analysis system to validate eye tracking as a viable biomarker for mild cognitive impairment (MCI) and early-onset Alzheimer’s Disease (AD). For this system, she developed machine learning algorithms to model and classify patients as healthy or MCI/AD based on their eye data. Over the past decade, the robotic engagement model and eye-analysis software has been published, patented, and licensed for commercial use. After living with a loved one with an alcohol addiction, Dr. Brown has now applied the aforementioned eye-analysis techniques to individuals under the influence of drugs and alcohol.","EyeGage, Inc."
Adam Jones,"Adam Jones is cofounder, CEO, and CTO of FanFest, a ""Clubhouse meets Twitch"" platform where fans virtually ""hop on stage"" with VIPs, which the biggest names in entertainment use to create interactive experiences personalized to each fan with 2 lines of code unlocking 100x incremental revenue per fan.Prior to FanFest, Adam spent 8 years in strategy consulting for Fortune 500 tech, media, and healthcare companies at PwC. Prior to PwC, Adam studied Neuroscience (and took a couple CS courses) at Amherst College.For more information about FanFest, follow @FanFestLive on Facebook, Twitter, and Instagram or visit www.fanfest.io.",FanFest
GiGi McDowell,"GiGi McDowell is the CEO and Founder of Fêtefully, a virtual wedding & event planning studio based in Dallas & Los Angeles with planners in over 25 states, Canada, Mexico & the Caribbean. She is a serial entrepreneur, starting her first company at 13, and is passionate about building a company at the intersection of weddings & technology. GiGi has been featured on ABC Family, FOX, and Huffington Post for her work in the wedding & event planning industry.",Fêtefully
Melissa Brogdon,"Melissa R. Brogdon is an Oakland, CA native who has been an entrepreneur since age 12.Melissa co-founded Fourth Party, a scalable Saas application, to provide a more efficient practice management solution for negotiators. In her role as Head of Product, Melissa is currently managing the development team and driving beta testing of Fourth Party’s enterprise solutions. Melissa was selected for Collab Capital’s 2020 Prep School for Founders and Google for Startups 2021 Founder’s Academy.Melissa is also an accomplished fundraiser who leverages her extensive experience as a grant writer, and an events and digital fundraising strategist to coach leaders and teams who serve mission-driven organizations. Her work has driven more than $10 million in philanthropic investments to vulnerable women, children, and communities in Georgia since 2014.In addition to her professional work, Melissa volunteers with the Junior League of Atlanta, Twelve Days of Christmas Inc. and as a board member with Atlanta Unbound Academy.Melissa is a proud alumna of Spelman College and The University of Pennsylvania’s Graduate School of Education. She resides in Atlanta.",Fourth Party
Renee King,"Renee King is a serial entrepreneur and founder of FundBlackFounders.She founded her company after witnessing an investor shame a group of Black founders for not being able to raise a friends and family round.On that day, she made it her purpose to create friends and family capital for every Black Founder. She takes a nurturing, collaborative approach paired with group economics in helping founders secure the capital they need to be able to fulfill their wildest entrepreneurial dreams.To date this funding alternative she created consists of over 4000 individuals who have collectively provided $1.4M in capital to 70 Black founders.It takes a village to raise a Founder, and Renee is on a mission to create that village for 10,000 Black Founders.She is reimagining conscious consumerism and connecting all communities, organizations, and individuals to be the new Friends, Family, Fans & Funds for Black entrepreneurs.Join her on her mission to fund Black Founders at fundBLACKFounders.com.",Fund Black Founders
Bobby Gilbert,"Before founding FundStory, Bobby entered the technology industry as an early sales hire at CartsGuru. Shortly after, began his entrepreneurial career focused on software, internet services, and mobile technologies as co-founder of two consumer-focused startups. From these experiences he learned early on that not every tech business is a good fit for venture capital. This amongst other insights, led to a mission driven purpose to help founders access capital while avoiding dilution.",Fund Story
Abiodun Johnson,"Abiodun Johnson is a co-founder of GeoCloud, a location intelligence platform that solves location based and near-me area network problems through software applications. GeoCloud’s flagship product is uGeo which is a geo social network that allow consumers to engage with the community around them, receive alerts when relative products and services are near them, and stay up to date on what’s happening around them.Prior to starting GeoCloud, Abiodun co-founded COSIGN, a tech platform that allows brands to create, distribute and monetize visual content through social media influencers and brand advocates. He helped lead the COSIGN platform from concept to launch and raised over $1.4 million in seed funding.Born in Memphis, Tennessee, Abiodun moved to Nigeria as a child and returned to the states at the age of six. His passion for technology started at a young age and brought him to New Hampshire, where he majored in Engineering Sciences at Dartmouth College.Abiodun is a natural leader with an extensive background in tech, with more than a decade of experience building software products in artificial intelligence, machine learning, digital marketing, eCommerce and social commerce for B2B and B2C customers.In addition to his devotion to tech and entrepreneurship, Johnson is passionate about empowering others to achieve success. He currently resides in Manhattan, where he enjoys traveling and exploring different cultures, spending time with his family and practicing Muay Thai in his free time.",GeoCloud
Jacquelyn Rodgers,"Launched in 2016 by Jackie Rodgers, Greentop Gifts has become a go-to brand for celebratory inclusion and representation. What started as a personal hunt for holiday gift wrap featuring a Black Santa eventually turned into the creation of Clarence Claus, the brand’s signature holiday character and cultural icon featured on Greentop Gifts’ apparel, home decor, stationary, and a bevy of other products, making Greentop Gifts a true lifestyle brand. As a graduate of Clark Atlanta University, the HBCU alum is on a mission to bring diversity to all celebrations by making them culturally inclusive in an era where representation matters. What originally began with Christmas products solely for her two-year-old son turned into a company bringing joy to thousands of other households across the United States with their unique and captivating gifting products that include birthdays and special celebrations. Greentop Gifts has been featured in Essence, O, The Oprah Magazine, NBC News, People.com, and Beyonce.com.",Greentop Gifts
Riana Lynn,"Founder and CEO Riana Lynn leads fast-growing software startup Journey Foods. The company is backed by top VCs in North America, Europe and Asia. Riana has served as a top consultant and VC to fortune 500 food and CPG companies. She's currently an angel investor and former Google Entrepreneur in Residence. She is one of just a few dozen black women that have raised more than a million dollars in venture funding. Riana has been featured in Forbes, MIT 35 under 35, USA Today, Fast Company, CNBC, Wired, TechCrunch, Entrepreneur Magazine, and more.Riana Lynn is a Chicago native and Austin-based entrepreneur who enjoys growing fruit trees, writing film scripts and exploring black culinary and architectural heritage sites worldwide. She currently sits on the board of AGLIFF, one of the country's largest annual and inclusive film festivals.",Journey Foods
Leslie Jones-Dove,"Leslie Jones-Dove is the CTO and co-founder of JusticeText. He received his BS in computer science from the University of Chicago in 2019. He formerly worked as a software engineer at Google Photos, where he built features to improve the monetizabilty of its Photos’ almost 1 billion monthly active users. His feature launches and experimentation there have generated millions of new revenue for Google photos, contributing to its long term financial health as a stand alone product. He applies the engineering excellence and rigor gained from this role to his work at JusticeText a video evidence management software company.",JusticeText
Andrew Hill,"Andrew is the CEO/Co-founder of LiftEd, where he leads a team of 11 in their purpose-driven work to close the achievement gap for individuals with learning disabilities school, community, and home settings. In 2020, Andrew and co-founder Joanne raised $1.4M to scale LiftEd's impact in education from prominent impact and EdTech investors across the US. Andrew was recognized in 2018 as a Forbes 30U30 recipient for his work in Education.Before launching LiftEd in 2016, Andrew worked as a technology consultant and user experience designer at Deloitte Consulting. Andrew spent 5 years designing enterprise software for Fortune 100 companies throughout the U.S., Europe, and India. It was at Deloitte that he developed a passion for creating software that improved lives and drove measurable impact in society.Andrew earned an M.B.A from the University of California Berkeley Haas School of Business in 2016 and a B.B.A in Management Information Systems from the University of Texas at Austin in 2010.",LiftEd
Barbara Jones,"Hi my names is Barbara Jones and I've always been in Retail, I started out as a Cashier at the age of 15, then got a Computer Science degree from UT Austin and was recruited by a startup that was Building cash register software/point of sale systems.I’ve been in the Retail Technology sector for close to 20 years and have been on the founding teams of 2 Retail Technology startups that both exited for close to $100M.Software that I’ve created is running in over 4000 stores throughout the US, Canada and Japan. I’ve been a POS Architect and Solutions Architect for The Home Depot, LL Bean and PepBoy and many more solving multi-million dollar issues for them.I have deep expertise in Point of Sale and Store Returns Management and have been selling to large Retail enterprises for the past 8 years.",Lillii RNB Inc
Florence Furaha,"Founder and CEO of Meetcaregivers. I have over 10+ years' experience in elder care, working as a caregiver and a care manager. After getting my MBA at Babson College, I joined Bank of America but left to launch Meetcaregivers with the idea that tech can be used to mitigate caregiver challenges that seniors struggle with. At Meetcaregivers, our goal is to enable millions of seniors to age happy and healthy at home.",Meetcaregivers INC
Jim Gibbs,"Jim Gibbs, a NY native, came to Pittsburgh to attend Carnegie Mellon University's school of Computer Science. Leaving early, Jim now has almost 40 years of experience as a software developer and 25 years in management. He is now focused on driving revenue growth through a deep understanding the challenges civic leaders face.Jim has a philosophy of ""Fix Things that Ruin your Day."" As a regular receiver of parking tickets, this lead him and his long-time programming partner to create Meter Feeder, the parking payment solution that helps vehicles easily remain compliant. He has a similar outlook in life advocating and instilling the principle that the world will be a better place if people keep taking chances and lead by example.",Meter Feeder
India Hayes,"India Hayes is a 2010 Graduate from Savannah College of Art and Design and holds a BFA in Graphic Design. Upon graduation, Hayes worked for organizations like the CDC, Turner Sports, CNN and Atlanta Tech Village. Hayes knows the importance of clear, effective communication and sustainable efforts. That is why she utilizes her design skills whenever she can for social good and sustainability. She has assisted water aide organizations with tech of social good in places as far as Nicaragua, and participated in hackathons right within her homebase of Georgia. In 2017, she founded tech start up Mini City (2021 Cisco Global Problem Solver Winner, 2020 Girl Boss Winner, 2020 Black Excellence Winner, 2020 REVOLT TV Winner, 2018 Startup Awards Nominee for Best Social Good Start Up, 2019 Startup Runway Winner, 2020 Startup World Cup Finalist); to alleviate homelessness in Metro Atlanta. Hayes has assisted thousands of homeless citizens within Atlanta, with ages ranging from 1 to 60 years old. Hayes feels that when a community's most vulnerable are empowered, whether it be within the US or overseas, it is transformed for the better.",Mini City
Ashlee Ammons,"Ashlee Ammons holds a BA in Mass Communications and Public Relations from Baldwin Wallace University. She is the 38th Black Female to raise over $1M in pre-seed funding. Prior to co-founding Mixtroz with her mother, Kerry Schrader, Ashlee established a career as an Events Producer working with an impressive list of A-listers including Oprah Winfrey, Leonardo DiCaprio, and Jay-Z, as well as legacy brands like Moet Hennessy and Coca-Cola.Ashlee serves on the Executive Board of Tech Birmingham and is an Advisor to the Nashville Entrepreneur Center following her time on the NEC’s Board. Ashlee is a 2019 Birmingham Business Journal 40 Under 40 recipient as well as Birmingham 40 Under 40 of the decade and Business Journals National Rising Star. Ashlee and her mother were named “Powerful Women” by Entrepreneur Magazine on their inaugural list in November, 2019. In November 2020, Ashlee was selected among the 100 Black, female entrepreneurs and innovators presented with funding as well as 100 days of resources by Amex and IFundWomen of Color as part of their new 100 for 100 program.",Mixtroz
Ayinde Alakoye,"Ayinde Alakoye is the Founder of nēdl, the creator of the original iheartradio app, a former pro-beach volleyball player, a former Speechwriter for President Obama, a proud father of a toddler, and an inventor. Born in Washington, DC as a child of the 80's, Ayinde fell in love with Radio at a young age and found his first major career success as an Account Manager for the number one revenue radio station in the country, WTOP. After becoming one of the highest paid radio advertising sales people in the country at CBS Radio in Los Angeles, he struck out to bring Radio to mobile phones with his first of three radio-focused startups in 2003-- before there was an AppStore. This company later partnered with Clear Channel to pilot the original version of iheartradio in 2007. He is a TechCrunch contributor, a former Executive Board Member of the Applications Development Alliance and was a recipient of the 50th Anniversary March on Washington Emancipation of Capital Award with Mark Cuban and the late Congressman John Lewis. Ayinde served on the Obama Campaign as a Message Advisor and staffer in the battleground state Ohio in 2008 and advised again in 2012. Among the words and themes he volunteered to the campaign were the words, ""The fundamental choice in this campaign is the choice between the Past vs. the Future.""",nēdl
Jay Paulynice,"Jay is a Co-Founder and CEO at Oatfin. As the CEO, he is responsible for overall strategy and direction of the company from building the first prototype to acquiring the first customers. He holds a bachelor's degree from Cornell University and he is passionate about the cloud, music, and fitness.",Oatfin
Chisa Egbelu,"Chisa Egbelu is an award-winning entrepreneur, producer, and media specialist. He's most known as the CEO and co-founder of PeduL, a marketplace for corporations to diversify their workforce with scholarship programs. As a native of Baton Rouge, LA, Chisa started his career as a college readiness coordinator helping raise the SAT and ACT scores throughout his city. After proven success, he was appointed as a youth advisor to the Mayor where he had the opportunity to contribute to progress on a systemic level. Chisa went on to Rutgers University to write his first dissertation on the Higher Education Bubble, and while there, launched the #1 radio show on campus, gaining the attention of producers across the tri-state. Chisa went on to work with New York City's #1 Hit Music Station at the Elvis Duran and the Morning Show, NBCUniversal at MSNBC's Morning Joe, and Google's Community Leaders Program as a Marketing Lead. Based on his experience early in his career, and the lack of diversity at his places of employment, Chisa saw a keen opportunity to utilize scholarships in order to hyper-target demographic specific recruiting within corporate America. These were the seeds that blossomed into PeduL.",PeduL
Stephanie Cummings,"Stephanie Cummings, CEO and Co-Founder of Please Assist Me, started Please Assist Me to bring true work-life balance by allowing users to come home to everything done. Previously, Stephanie worked with a healthcare IT startup that was acquired. In her last role, she was responsible for program oversight of a new product that realized over $1MM in revenue during its first year on the market. Stephanie received her Master’s Degree in Business Administration from Middle Tennessee State University.",Please Assist Me
Aaron P. Woods,"Aaron is the Founder & CEO of Podpal, the all-in-one podcast management platform. He came up with the idea for Podpal while helping his wife, Tania, with the production of her first show. As a new podcaster, she was struggling to release content regularly due to the fragmented processes & tools available today. Aaron discovered that Tania’s need for podcast management was not an isolated problem. In fact, most new podcasters give up by Episode 6 due to the administrative burden of podcasting. This inspired him to create a simple and intuitive app for podcasting that helps podcasters spend less time as an admin and more time doing what they love: telling stories, interviewing guests, and building their brand.Aaron embodies the company’s mantra of “A Podcaster’s Best Friend®,” and seeks to help millions of podcast teams plan, publish, and promote their show without all the stress and clutter. As the only black-owned podcasting startup, Aaron is also passionate providing the education, tools, and opportunities that empower podcasters of color and amplify black voices!While Aaron has successfully transitioned into tech, he actually began his career as a Structural Design Engineer for MKA in Seattle, WA. Some notable structures he was a part of designing include Amazon’s Campus & Spheres in Seattle and Salesforce Tower in San Francisco. After a few years in building design, he joined Boeing as a Quality Engineer on the 777X Program. He eventually transitioned into software through his work as a startup Founder and entrepreneur. This helped him secure senior leadership positions at big technology companies like The Home Depot and Microsoft while bootstrapping Podpal and building the app on nights and weekends.Aaron currently resides in Atlanta, GA with his wife and 4 amazing children. When he’s not creating and innovating, he enjoys spending time with family, playing acoustic guitar, and advocating for children and adults on the Autism Spectrum.",Podpal
JT Liddell,"JT Liddell has worked in intelligence for U.S. Special Operations, solo piloted a helicopter through the Arizona mountains, spoken Pashto and drank chai tea with village elders in southern Afghanistan, and worked for multiple Fortune 50 companies in corporate America.But his most important mission ever is building social-impact focused tech startup Promenade. At Promenade, their mission is to match and connect military veterans to the resources that matter to them so they can navigate post-military life in a more seamless and purposeful way.In previous positions with IBM, JP Morgan, and the US Intelligence Community, JT has also developed and maintained strong external partnerships and has worked in high technology with a focus in key areas such as artificial intelligence, cybersecurity, data research and analytics, blockchain, data mining, and program development.JT holds an MBA from George Washington University, enjoys traveling the world and learning new languages, and is the self-declared ping-pong champion of his family.",Promenade
Janna Westbrook,"With over 10 years of experience, Janna Westbrook is a demonstrated leader in Healthcare Administration and Nursing Education. After a personal struggle with nurse burnout and talent acquisition challenges, Janna created a ‘Nurses-on-demand’ app for healthcare organizations suffering from the nursing shortage. She then led Provider Pool from idea stage to revenue generation in less than 6 months, securing investors, customers and top talent along the way. Provider Pool has since generated $1M+ in revenue and continues to make a major impact in up-skilling the nursing workforce.Aside from Provider Pool, Janna teaches clinical skills to nursing students, tutors for NCLEX and coaches high schoolers on their journey to becoming Registered Nurses.Her passion lies in solving the nursing shortage by helping more people come into the healthcare field and stay in the healthcare field!",Provider Pool
Fredrick Burns,"A native of Mississippi, Fred received his bachelor of science degree in computer engineering from Jackson State University in 2014. He was a software engineer for American Airlines and JP Morgan Chase before joining Verizon Wireless as a senior iOS engineer and transitioning to run his own companies in 2020.Fred has a passion for solving real-world problems through the use of technology. Fred credits a vast majority of his success from the meaningful relationships he built, mentorship, and the village that has supported him every step of his journey. He is a national board member for a non-profit call Youth Villages, which serves at-risk youths and teens aging out of the foster care system, an organization that he was a part of as a teen. Fred has received many awards ranging from national leadership awards to a resolution from his hometown Jackson, Mississippi, for his work in the community.When Fred's face is not glued to the computer screen, he enjoys attending sporting events and spending time with his twin boys, who are the sole reason he started Safer Management.","Safer Management, Inc."
Sterling Smith,"Sterling Smith fell in love with technology at the age of 9, during his first experience with a computer (one could say it was a love at first sight). Since that time he has made it his mission to dig deeper and deeper into software and understand how it works.He is a software engineer turned startup founder based in Austin, Texas. After working in industry at Walmart, Lockheed Martin and Booz Allen Hamilton, Sterling founded his first company, LaunchPartner.co in 2013. LaunchPartner.co’s mission is to help non-technical subject matter experts launch their MVP’s. The company's philosophy is “if it can’t be built within 8 weeks, it’s probably not an MVP.”Sterling began building his second company, Sandbox Commerce, in 2018. Sandbox Commerce enables traditional retailers to launch bespoke, rapidly scalable mobile apps quickly via a no-code drag and drop platform. The app is particularly adaptable to today’s retail woes, because it enables contactless curbside commerce, appointment scheduling, last-mile delivery and other services to allow consumers to access products from a safe distance. Retailers can launch their apps on both iOS and Google Play AppStores.",Sandbox Commerce
Kofi Frimpong,"Kofi Frimpong is a Ghanaian American entrepreneur that grew up in New Jersey. After graduating from Princeton University he took on business development and product roles at early stage startups in NYC and became fascinated with startups, technology and venture capital. He’s currently the Co-Founder of Seshie, which provides live and data-driven modern-day Learning & Development workshops for teams that improves mental health, retention & performance for employees.",Seshie
Sheffie Robinson,"Sheffie Robinson is a serial entrepreneur, software engineer, and sociologist that specializes in solving racial and gender equity with technology. She is currently the CEO of Shamrck an artificial intelligence platform designed to bring data mining and predictive analytics to career and technical education programs. She has over 20 years of experience in technology development and over 15 years of experience in retail sales and marketing. She has spent significant time in her career working to impact gender and racial equity to enhance diversity and inclusion. She is a second time founder, her first company being a fintech product that brought banking services to virtual currencies. Sheffie is a graduate of Thomas Edison State University with a degree in Sociology and is currently pursuing her MBA at Georgia Southern University. Sheffie has been named the Top 10 under 40 and a Top CEO by the Mississippi Business Journal as well as named Cloud Platform for the year by Women in Cloud and M12, Microsoft Venture Capital Fund.In addition to her business, she regularly mentors startups on product development, branding, and project management to help them stay lean as they build a business. Her work with underrepresented founders has helped her to become a steward for diversity, equity, and inclusion. In her personal life, Sheffie is a military spouse and mother of 3 hailing from their current duty station in Vicksburg, MS, but she's a Georgia native. She also enjoys virtual live-action roleplay and is a huge Anime fan.",Shamrck
